Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1659195488472821760,RT @AbueloRetroWave : Tacos 🌮 https://t.co/EWnFPN4wCD,San,crinjappa,2023-05-18T13:53:25.000Z,Thu May 18 13:53:25 +0000 2023,0,0,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,0,0,animated_gif,https://video.twimg.com/tweet_video/FwR-t0mXgAcAsS7.mp4,,,
1659142108790308866,RT @JujutsuTwts : They slay https://t.co/X7sZLfQxy9 https://t.co/czxYNh749H,San,crinjappa,2023-05-18T10:21:18.000Z,Thu May 18 10:21:18 +0000 2023,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,https://twitter.com/Darea1jb/status/1657753609046507525 ,0,0,photo,https://pbs.twimg.com/media/FwX4H6QagAENdaV.jpg,https://pbs.twimg.com/media/FwX4IJ5agAEP_IM.jpg,https://pbs.twimg.com/media/FwX4IaNaUAAAlNF.jpg,https://pbs.twimg.com/media/FwX4IoMaQAEQviK.jpg
1658986960365420544,RT @daddymulk2013 : まじょ #女子高生の無駄づかい  #落書き https://t.co/AcX20ZTfjB https://t.co/wBUXrVygl0,San,crinjappa,2023-05-18T00:04:48.000Z,Thu May 18 00:04:48 +0000 2023,0,0,ja,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,https://sketch.pixiv.net/items/6236104561010009083 ,2,0,photo,https://pbs.twimg.com/media/FwVgFi7XwAAYVtm.jpg,,,
1658986889628532739,RT @Dino_illus : pawa https://t.co/OfqgevIGby,San,crinjappa,2023-05-18T00:04:31.000Z,Thu May 18 00:04:31 +0000 2023,0,0,tl,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,0,0,photo,https://pbs.twimg.com/media/FwW1_iBXgAAS2uH.jpg,,,
1658838283651018752,RT @AMAZlNGNATURE : https://t.co/UuG3av8atA,San,crinjappa,2023-05-17T14:14:01.000Z,Wed May 17 14:14:01 +0000 2023,0,0,zxx,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,0,0,video,https://video.twimg.com/ext_tw_video/1658537750017048576/pu/pl/zANdBCjlo2OE5zmI.m3u8?tag=12&container=fmp4,,,
1658837966553268225,"RT @artsc_s : Kobeni
.
#drawing #drawings #dibujo #anime #animegirl #AnimeArt #kobeni #chainsawman https://t.co/YRZVdDdkdG",San,crinjappa,2023-05-17T14:12:45.000Z,Wed May 17 14:12:45 +0000 2023,0,0,tr,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,8,0,photo,https://pbs.twimg.com/media/FwSObfNWIAMwdSM.jpg,,,
1658836905117597696,RT @OYO_HITSUJI : 堵车🚗 https://t.co/1Q88rRrMgU,San,crinjappa,2023-05-17T14:08:32.000Z,Wed May 17 14:08:32 +0000 2023,0,0,zh,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,0,0,photo,https://pbs.twimg.com/media/FwPJF2gacAAZFIN.jpg,,,
1658232434503155713,RT @NoContextHumans : https://t.co/sEt0Y0XVMU,San,crinjappa,2023-05-15T22:06:35.000Z,Mon May 15 22:06:35 +0000 2023,0,0,zxx,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,0,0,photo,https://pbs.twimg.com/media/FwGuWYHWYAAyHC2.jpg,,,
1658223312541999107,@kadrako101 @cahtiauu Que opinião que ela deu cara? Kkkkkk wtf,San,crinjappa,2023-05-15T21:30:20.000Z,Mon May 15 21:30:20 +0000 2023,1,0,pt,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,2,,,,,
1658046521353420801,RT @GifsAnime_ : Bocchi 🌸😅 https://t.co/4obo0OqmEP,San,crinjappa,2023-05-15T09:47:50.000Z,Mon May 15 09:47:50 +0000 2023,0,0,it,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,0,0,animated_gif,https://video.twimg.com/tweet_video/FwFtt0TXgAAx0kG.mp4,,,
1658046472938455040,RT @shimhaq : Death straight up! https://t.co/HWh41MeLai https://t.co/xv04hSJi6n,San,crinjappa,2023-05-15T09:47:38.000Z,Mon May 15 09:47:38 +0000 2023,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,https://twitter.com/Leisen_mellow/status/1648344517068705793 ,0,0,photo,https://pbs.twimg.com/media/FwI_r0maYAAWELI.jpg,,,
1657805286214623232,"RT @masoq095 : Asa is literally me
#チェンソーマン #chainsawman https://t.co/jAg6aXf4uO",San,crinjappa,2023-05-14T17:49:15.000Z,Sun May 14 17:49:15 +0000 2023,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,2,0,photo,https://pbs.twimg.com/media/FwF9YkiaMAMN6Eb.jpg,,,
1657160490504552456,@FineMustache @geraldd_tv Estudantes de ti durante o curso alternativo de dp900,San,crinjappa,2023-05-12T23:07:04.000Z,Fri May 12 23:07:04 +0000 2023,1,0,pt,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,2,,,,,
1657159760376987649,@geraldd_tv @FineMustache vazou foto dos crias aí,San,crinjappa,2023-05-12T23:04:10.000Z,Fri May 12 23:04:10 +0000 2023,1,0,pt,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,2,,,,,
1657159382436663296,RT @animesvibes__ : Anime : Horimiya https://t.co/0lcVXffyAF,San,crinjappa,2023-05-12T23:02:39.000Z,Fri May 12 23:02:39 +0000 2023,0,0,tl,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,0,0,photo,https://pbs.twimg.com/media/Fv9KtVqXsAA1s-p.jpg,,,
1657104010506129423,RT @AMAZlNGNATURE : https://t.co/Pq8CWSvS0a,San,crinjappa,2023-05-12T19:22:38.000Z,Fri May 12 19:22:38 +0000 2023,0,0,zxx,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,0,0,video,https://video.twimg.com/ext_tw_video/1656839925717774336/pu/pl/tdQaoJmhSMj3a42Z.m3u8?tag=12&container=fmp4,,,
1657103879643734016,RT @Polygon1993 : パワー■ https://t.co/7OkKiLMjTs,San,crinjappa,2023-05-12T19:22:07.000Z,Fri May 12 19:22:07 +0000 2023,0,0,ja,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,0,0,animated_gif,https://video.twimg.com/tweet_video/Fv3Vv_8WAAc_GKt.mp4,,,
1657103776933728277,RT @GifsAnime_ : Skip to loafer ☺️ https://t.co/IfxW4bQSet,San,crinjappa,2023-05-12T19:21:42.000Z,Fri May 12 19:21:42 +0000 2023,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,0,0,animated_gif,https://video.twimg.com/tweet_video/Fv3-cI9WcBElw4O.mp4,,,
1656967708519350276,"RT @MysticKistune18 : Chainsaw man x Akira

#chainsawman #chainsawman129 https://t.co/UZ316yhrVQ",San,crinjappa,2023-05-12T10:21:01.000Z,Fri May 12 10:21:01 +0000 2023,0,0,tl,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,2,0,photo,https://pbs.twimg.com/media/Fv2m6adagAkKjwS.jpg,,,
1656632175918292995,"RT @eovlfh : ☕🍫

#hollowknight https://t.co/uR4Y9npk2g",San,crinjappa,2023-05-11T12:07:44.000Z,Thu May 11 12:07:44 +0000 2023,0,0,qme,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,1,0,photo,https://pbs.twimg.com/media/FvxM2SNaIAEE0lD.jpg,,,
1656289574929281030,RT @rezaafsharr : Enjoy the Silence https://t.co/cyQVtPhMDY,San,crinjappa,2023-05-10T13:26:21.000Z,Wed May 10 13:26:21 +0000 2023,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,0,0,photo,https://pbs.twimg.com/media/FvvBavcaMAIuQPj.jpg,,,
1656253636496826373,RT @EverythingOOC : https://t.co/mbMW4OT2iE,San,crinjappa,2023-05-10T11:03:33.000Z,Wed May 10 11:03:33 +0000 2023,0,0,zxx,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,0,0,video,https://video.twimg.com/ext_tw_video/1656032161143877633/pu/pl/k0U98_A3Qw6ARYpo.m3u8?tag=12&container=fmp4,,,
1656218012960079873,Literalmente. https://t.co/okTvlsiDKZ,San,crinjappa,2023-05-10T08:41:59.000Z,Wed May 10 08:41:59 +0000 2023,0,0,pt,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,https://twitter.com/kal4sh1/status/1656051002720616448 ,0,0,,,,,
1656090111627411459,"KKKKKKKKKKKKK ""MOTO"" SERRA https://t.co/eLoMgLocVw",San,crinjappa,2023-05-10T00:13:45.000Z,Wed May 10 00:13:45 +0000 2023,0,0,pt,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,https://twitter.com/CSPerfectShot/status/1655951689956876288 ,0,0,,,,,
1656088636373323778,RT @chicodecg : https://t.co/GmuQ78QJPW,San,crinjappa,2023-05-10T00:07:54.000Z,Wed May 10 00:07:54 +0000 2023,0,0,zxx,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,0,0,photo,https://pbs.twimg.com/media/FvoSSlXWcAEfvAq.jpg,,,
1656088244948291585,@shitpostverdade @Felipe_S3rra eu fazendo o famoso tech homem,San,crinjappa,2023-05-10T00:06:20.000Z,Wed May 10 00:06:20 +0000 2023,0,0,pt,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,2,,,,,
1656088098286055425,RT @dimitrisanders_ : eu na beira da loucura lutando contra meus pensamentos num domingo a noite https://t.co/KOLscbYCov,San,crinjappa,2023-05-10T00:05:45.000Z,Wed May 10 00:05:45 +0000 2023,0,0,pt,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,0,0,video,https://video.twimg.com/ext_tw_video/1655784742413910019/pu/vid/296x270/FBAKQJeDyXZwJxlJ.mp4?tag=12,,,
1656087915926003714,RT @pobrepcruim : jogadores de league of legends = 💀 https://t.co/JutAevI8hc,San,crinjappa,2023-05-10T00:05:02.000Z,Wed May 10 00:05:02 +0000 2023,0,0,pt,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,0,0,photo,https://pbs.twimg.com/media/FvmD8-cX0AEKwYf.png,,,
1656084810715082752,@jiujitsujulia @mswghst você no trampo de frango daqui uns dia,San,crinjappa,2023-05-09T23:52:42.000Z,Tue May 09 23:52:42 +0000 2023,0,0,pt,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,2,,,,,
1656064331270815745,@emopalette Fico feliz,San,crinjappa,2023-05-09T22:31:19.000Z,Tue May 09 22:31:19 +0000 2023,0,0,pt,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,1,,,,,
1656048415501893649,@ronlyytheduck Exatamente o próximo que vou fazer KAKAKAKAKAKAK,San,crinjappa,2023-05-09T21:28:04.000Z,Tue May 09 21:28:04 +0000 2023,0,0,pt,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,1,,,,,
1656045332411604992,"@ronlyytheduck Que casar o que, já sou compromissado",San,crinjappa,2023-05-09T21:15:49.000Z,Tue May 09 21:15:49 +0000 2023,0,0,pt,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,1,,,,,
1656036820621115392,"@emopalette Pensa no chuuya, vc fica feliz",San,crinjappa,2023-05-09T20:42:00.000Z,Tue May 09 20:42:00 +0000 2023,0,0,pt,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,1,,,,,
1655990514015928333,RT @Riot_Kassadin : https://t.co/PYv3Bka8hn,San,crinjappa,2023-05-09T17:38:00.000Z,Tue May 09 17:38:00 +0000 2023,0,0,zxx,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,0,0,video,https://video.twimg.com/ext_tw_video/1655962134306603008/pu/vid/540x540/KQiKpStQ2NAIBypQ.mp4?tag=12,,,
1655987739261644800,Elden ring é um jogão. https://t.co/zwZeiI4PR9,San,crinjappa,2023-05-09T17:26:58.000Z,Tue May 09 17:26:58 +0000 2023,3,0,pt,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FvtAEoMXsAANSzs.jpg,,,
1655987248792207384,RT @ShouldHaveCat : https://t.co/XAHQFc1wqD,San,crinjappa,2023-05-09T17:25:01.000Z,Tue May 09 17:25:01 +0000 2023,0,0,zxx,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,0,0,photo,https://pbs.twimg.com/media/FvspiiwWcAEKI7g.jpg,https://pbs.twimg.com/media/FvspittaQAENG_B.jpg,,
1655984231531544585,RT @john_kafka02 : https://t.co/AcxHUKzlY6,San,crinjappa,2023-05-09T17:13:02.000Z,Tue May 09 17:13:02 +0000 2023,0,0,zxx,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,0,0,photo,https://pbs.twimg.com/media/FvsBBY5aEAEZGvW.jpg,,,
1655984058344538152,"RT @Heartbreak_Juan : LETS 

FUCKING 

GET IT BITCHES https://t.co/TaqVkV4kc8",San,crinjappa,2023-05-09T17:12:20.000Z,Tue May 09 17:12:20 +0000 2023,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,0,0,photo,https://pbs.twimg.com/media/FvsettJaIAASz1Z.png,,,
1655849350956818432,RT @MongooseRodeo : https://t.co/Aw6kylKFuV,San,crinjappa,2023-05-09T08:17:04.000Z,Tue May 09 08:17:04 +0000 2023,0,0,zxx,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,0,0,animated_gif,https://video.twimg.com/tweet_video/Fvp15Z5WIAAwsMB.mp4,,,
